city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Khanty-Mansiysk,61.0000,69.0000,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,admin,98692,98692
Sarapul,56.4667,53.8000,Russia,RU,Udmurtiya,,97910,97910
Serov,59.6000,60.5667,Russia,RU,Sverdlovskaya Oblast’,,97762,97762
Votkinsk,57.0500,54.0000,Russia,RU,Udmurtiya,,97550,97550
Ukhta,63.5667,53.7000,Russia,RU,Komi,,97087,97087
Mezhdurechensk,53.6833,88.0500,Russia,RU,Kemerovskaya Oblast’,,97060,97060
Leninsk-Kuznetskiy,54.6500,86.1667,Russia,RU,Kemerovskaya Oblast’,,96139,96139
Sarov,54.9333,43.3167,Russia,RU,Nizhegorodskaya Oblast’,,95388,95388
Solikamsk,59.6333,56.7667,Russia,RU,Permskiy Kray,,94628,94628
Gatchina,59.5667,30.1333,Russia,RU,Leningradskaya Oblast’,,94447,94447
Mikhaylovsk,45.1283,42.0256,Russia,RU,Stavropol’skiy Kray,,93658,93658
Voskresensk,55.3167,38.6833,Russia,RU,Moskovskaya Oblast’,,93565,93565
Michurinsk,52.8922,40.4928,Russia,RU,Tambovskaya Oblast’,,93330,93330
Glazov,58.1333,52.6500,Russia,RU,Udmurtiya,,93056,93056
Magadan,59.5667,150.8000,Russia,RU,Magadanskaya Oblast’,admin,92782,92782
Velikiye Luki,56.3500,30.5167,Russia,RU,Pskovskaya Oblast’,,91435,91435
Kiselëvsk,53.9833,86.7000,Russia,RU,Kemerovskaya Oblast’,,89867,89867
Kansk,56.2000,95.7000,Russia,RU,Krasnoyarskiy Kray,,89508,89508
Kamensk-Shakhtinskiy,48.3167,40.2667,Russia,RU,Rostovskaya Oblast’,minor,88997,88997
Lobnya,56.0167,37.4833,Russia,RU,Moskovskaya Oblast’,,88220,88220
Gubkin,51.2833,37.5500,Russia,RU,Belgorodskaya Oblast’,,86780,86780
Novotroitsk,51.2067,58.3281,Russia,RU,Orenburgskaya Oblast’,,86474,86474
Buzuluk,52.7667,52.2667,Russia,RU,Orenburgskaya Oblast’,,86316,86316
Shchëkino,54.0143,37.5143,Russia,RU,Tul’skaya Oblast’,,86088,60700
Bugulma,54.5333,52.7833,Russia,RU,Tatarstan,,86085,86085
Yeysk,46.7106,38.2778,Russia,RU,Krasnodarskiy Kray,minor,85760,85760
Kineshma,57.4500,42.1500,Russia,RU,Ivanovskaya Oblast’,,83871,83871
Zheleznogorsk,56.2500,93.5333,Russia,RU,Krasnoyarskiy Kray,,83857,83857
Chaykovskiy,56.7667,54.1167,Russia,RU,Permskiy Kray,,83077,83077
Kuznetsk,53.1167,46.6000,Russia,RU,Penzenskaya Oblast’,,82276,82276
Ust’-Ilimsk,58.0000,102.6667,Russia,RU,Irkutskaya Oblast’,,81976,81976
Yurga,55.7333,84.9000,Russia,RU,Kemerovskaya Oblast’,,81759,81759
Anapa,44.8944,37.3167,Russia,RU,Krasnodarskiy Kray,minor,81447,81447
Novouralsk,57.2500,60.0833,Russia,RU,Sverdlovskaya Oblast’,,81202,81202
Azov,47.1000,39.4167,Russia,RU,Rostovskaya Oblast’,minor,80721,80721
Klin,56.3339,36.7125,Russia,RU,Moskovskaya Oblast’,,79387,79387
Ivanteyevka,55.9700,37.9200,Russia,RU,Moskovskaya Oblast’,,79346,79346
Ozërsk,55.7556,60.7028,Russia,RU,Chelyabinskaya Oblast’,,79265,79265
Vyborg,60.7092,28.7442,Russia,RU,Leningradskaya Oblast’,,78457,78457
Kropotkin,45.4333,40.5667,Russia,RU,Krasnodarskiy Kray,,78149,78149
Bor,56.3603,44.0592,Russia,RU,Nizhegorodskaya Oblast’,,78063,78063
Usol’ye-Sibirskoye,52.7500,103.6500,Russia,RU,Irkutskaya Oblast’,,77407,77407
Gelendzhik,44.5608,38.0767,Russia,RU,Krasnodarskiy Kray,,77212,77212
Balashov,51.5500,43.1667,Russia,RU,Saratovskaya Oblast’,,76776,76776
Chernogorsk,53.8167,91.2833,Russia,RU,Khakasiya,,75419,75419
Shadrinsk,56.0833,63.6333,Russia,RU,Kurganskaya Oblast’,,75348,75348
Dubna,56.7500,37.1500,Russia,RU,Moskovskaya Oblast’,,75144,75144
Mineral’nyye Vody,44.2008,43.1125,Russia,RU,Stavropol’skiy Kray,,74141,74141
Yelabuga,55.7667,52.0333,Russia,RU,Tatarstan,,74031,74031
Troitsk,54.0833,61.5667,Russia,RU,Chelyabinskaya Oblast’,,73911,73911
Yegoryevsk,55.3667,39.0167,Russia,RU,Moskovskaya Oblast’,,73766,73766
Birobidzhan,48.7833,132.9333,Russia,RU,Yevreyskaya Avtonomnaya Oblast’,admin,73623,73623
Novoaltaysk,53.4000,83.9333,Russia,RU,Altayskiy Kray,,73439,73439
Vsevolozhsk,60.0160,30.6663,Russia,RU,Leningradskaya Oblast’,,72864,72864
Chapayevsk,52.9833,49.7167,Russia,RU,Samarskaya Oblast’,,72778,72778
Belovo,54.4167,86.3000,Russia,RU,Kemerovskaya Oblast’,,72519,72519
Kirovo-Chepetsk,58.5500,50.0167,Russia,RU,Kirovskaya Oblast’,,72071,72071
Verkhnyaya Pyshma,56.9667,60.5833,Russia,RU,Sverdlovskaya Oblast’,,71241,71241
Chekhov,55.1481,37.4769,Russia,RU,Moskovskaya Oblast’,,70548,70548
Anzhero-Sudzhensk,56.0833,86.0333,Russia,RU,Kemerovskaya Oblast’,,70476,70476
Dmitrov,56.3500,37.5333,Russia,RU,Moskovskaya Oblast’,,68792,68792
Tuymazy,54.6000,53.7000,Russia,RU,Bashkortostan,,68256,68256
Sosnovyy Bor,59.9000,29.1000,Russia,RU,Leningradskaya Oblast’,,68013,68013
Minusinsk,53.7000,91.6833,Russia,RU,Krasnoyarskiy Kray,,68007,68007
Kstovo,56.1517,44.1956,Russia,RU,Nizhegorodskaya Oblast’,,67874,67874
Oktyabrskiy,52.6636,156.2387,Russia,RU,Kamchatskiy Kray,,67386,67386
Georgiyevsk,44.1500,43.4667,Russia,RU,Stavropol’skiy Kray,,67054,67054
Stupino,54.8869,38.0772,Russia,RU,Moskovskaya Oblast’,,66341,66341
Slavyansk-na-Kubani,45.2586,38.1247,Russia,RU,Krasnodarskiy Kray,minor,66285,66285
Belogorsk,50.9167,128.4833,Russia,RU,Amurskaya Oblast’,,66183,66183
Vidnoye,55.5500,37.7000,Russia,RU,Moskovskaya Oblast’,,66158,66158
Beloretsk,53.9667,58.4000,Russia,RU,Bashkortostan,,65477,65477
Pavlovskiy Posad,55.7833,38.6500,Russia,RU,Moskovskaya Oblast’,,65432,65432
Ishimbay,53.4500,56.0333,Russia,RU,Bashkortostan,,65422,65422
Kungur,57.4333,56.9333,Russia,RU,Permskiy Kray,minor,65284,65284
Zarechnyy,53.2000,45.1667,Russia,RU,Penzenskaya Oblast’,,65156,65156
Ishim,56.1167,69.5000,Russia,RU,Tyumenskaya Oblast’,,65142,65142
Buynaksk,42.8167,47.1167,Russia,RU,Dagestan,minor,65080,65080
Gukovo,48.0500,39.9333,Russia,RU,Rostovskaya Oblast’,,64869,64869
Asbest,57.0000,61.4667,Russia,RU,Sverdlovskaya Oblast’,,64091,64091
Donskoy,53.9667,38.3167,Russia,RU,Tul’skaya Oblast’,,63631,63631
Gorno-Altaysk,51.9600,85.9600,Russia,RU,Altay,admin,63214,63214
Volsk,52.0500,47.3833,Russia,RU,Saratovskaya Oblast’,,63212,63212
Novaya Balakhna,56.4943,43.5944,Russia,RU,Nizhegorodskaya Oblast’,,63083,61891
Klintsy,52.7528,32.2361,Russia,RU,Bryanskaya Oblast’,,62936,62936
Rossosh,50.1983,39.5672,Russia,RU,Voronezhskaya Oblast’,minor,62827,62827
Revda,56.8000,59.9167,Russia,RU,Sverdlovskaya Oblast’,,62687,62687
Borisoglebsk,51.3667,42.0833,Russia,RU,Voronezhskaya Oblast’,,62669,62669
Leninogorsk,54.5989,52.4423,Russia,RU,Tatarstan,,62531,62531
Budënnovsk,44.7833,44.1500,Russia,RU,Stavropol’skiy Kray,,62495,62495
Tuapse,44.1000,39.0833,Russia,RU,Krasnodarskiy Kray,minor,62269,62269
Zelenogorsk,56.1000,94.5833,Russia,RU,Krasnoyarskiy Kray,,62245,62245
Chistopol,55.3648,50.6407,Russia,RU,Tatarstan,,62200,42265
Naro-Fominsk,55.3833,36.7333,Russia,RU,Moskovskaya Oblast’,,62002,62002
Polevskoy,56.4500,60.1833,Russia,RU,Sverdlovskaya Oblast’,,61853,61853
Kotlas,61.2500,46.6500,Russia,RU,Arkhangel’skaya Oblast’,,61805,61805
Lysva,58.1086,57.8053,Russia,RU,Permskiy Kray,,61752,61752
Sibay,52.7000,58.6500,Russia,RU,Bashkortostan,,61266,61266
Fryazino,55.9500,38.0500,Russia,RU,Moskovskaya Oblast’,,60437,60437
Belebey,54.1000,54.1333,Russia,RU,Bashkortostan,,60188,60188
Kumertau,52.7667,55.7833,Russia,RU,Bashkortostan,,60164,60164
Labinsk,44.6333,40.7333,Russia,RU,Krasnodarskiy Kray,minor,60164,60164
Urus-Martan,43.1224,45.5366,Russia,RU,Chechnya,minor,59954,59954
Lesosibirsk,58.2333,92.4833,Russia,RU,Krasnoyarskiy Kray,,59525,59525
Rzhev,56.2656,34.3276,Russia,RU,Tverskaya Oblast’,,59422,59422
Aleksandrov,56.3936,38.7150,Russia,RU,Vladimirskaya Oblast’,,59328,59328
Izberbash,42.5667,47.8667,Russia,RU,Dagestan,,58690,58690
Lytkarino,55.5833,37.8833,Russia,RU,Moskovskaya Oblast’,,58606,58606
Nyagan,62.1333,65.3833,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,,58335,58335
Tikhvin,59.6333,33.5000,Russia,RU,Leningradskaya Oblast’,,58136,58136
Shuya,56.8500,41.3667,Russia,RU,Ivanovskaya Oblast’,,58114,58114
Meleuz,52.9647,55.9328,Russia,RU,Bashkortostan,,58004,58004
Aleksin,54.5000,37.0667,Russia,RU,Tul’skaya Oblast’,,57892,57892
Berëzovskiy,56.9000,60.8000,Russia,RU,Sverdlovskaya Oblast’,,57892,57892
Prokhladnyy,43.7575,44.0297,Russia,RU,Kabardino-Balkariya,minor,57883,57883
Mikhaylovka,50.0667,43.2333,Russia,RU,Volgogradskaya Oblast’,,57829,57829
Tikhoretsk,45.8500,40.1167,Russia,RU,Krasnodarskiy Kray,minor,57771,57771
Pavlovo,55.9619,43.0900,Russia,RU,Nizhegorodskaya Oblast’,,57630,57630
Salsk,46.4833,41.5333,Russia,RU,Rostovskaya Oblast’,minor,57622,57622
Krasnotur’insk,59.7733,60.1853,Russia,RU,Sverdlovskaya Oblast’,,57514,57514
Krymsk,44.9333,38.0000,Russia,RU,Krasnodarskiy Kray,minor,57229,57229
Neryungri,56.6583,124.7250,Russia,RU,Sakha (Yakutiya),,57009,57009
Iskitim,54.6333,83.3000,Russia,RU,Novosibirskaya Oblast’,,56602,56602
Klimovsk,55.3667,37.5333,Russia,RU,Moskovskaya Oblast’,,56239,56239
Vorkuta,67.5000,64.0333,Russia,RU,Komi,,56088,56088
Apatity,67.5675,33.3933,Russia,RU,Murmanskaya Oblast’,,55713,55713
Dzerzhinskiy,55.6333,37.8500,Russia,RU,Moskovskaya Oblast’,,55669,55669
Gus’-Khrustal’nyy,55.6167,40.6500,Russia,RU,Vladimirskaya Oblast’,,54533,54533
Volzhsk,55.8667,48.3500,Russia,RU,Mariy-El,,54519,54519
Sertolovo,60.1500,30.2000,Russia,RU,Leningradskaya Oblast’,,54497,54497
Liski,50.9822,39.4994,Russia,RU,Voronezhskaya Oblast’,,53897,53897
Shali,43.1500,45.9000,Russia,RU,Chechnya,minor,53807,53807
Svobodnyy,51.3833,128.1333,Russia,RU,Amurskaya Oblast’,,53678,53678
Krasnokamsk,58.0833,55.7500,Russia,RU,Permskiy Kray,,53631,53631
Zhigulevsk,53.4000,49.5000,Russia,RU,Samarskaya Oblast’,,53407,53407
Vyksa,55.3194,42.1731,Russia,RU,Nizhegorodskaya Oblast’,,53219,53219
Gudermes,43.3500,46.1000,Russia,RU,Chechnya,minor,52908,52908
Krasnokamensk,50.1000,118.0333,Russia,RU,Zabaykal’skiy Kray,,52811,52811
Vyazma,55.2103,34.2850,Russia,RU,Smolenskaya Oblast’,,52506,52506
Arsenyev,44.1667,133.2667,Russia,RU,Primorskiy Kray,,52471,52471
Belorechensk,44.7667,39.8667,Russia,RU,Krasnodarskiy Kray,minor,52082,52082
Timashevsk,45.6167,38.9333,Russia,RU,Krasnodarskiy Kray,minor,51925,51925
Solnechnogorsk,56.1844,36.9950,Russia,RU,Moskovskaya Oblast’,,51612,51612
Uzlovaya,53.9791,38.1601,Russia,RU,Tul’skaya Oblast’,,51358,51358
Severomorsk,69.0692,33.4167,Russia,RU,Murmanskaya Oblast’,,51209,51209
Snezhinsk,56.0833,60.7333,Russia,RU,Chelyabinskaya Oblast’,,51048,51048
Kirishi,59.4500,32.0167,Russia,RU,Leningradskaya Oblast’,,50885,50885
Cheremkhovo,53.1500,103.0667,Russia,RU,Irkutskaya Oblast’,,50819,50819
Nazarovo,56.0064,90.3914,Russia,RU,Krasnoyarskiy Kray,,50397,50397
Moskovskiy,55.5991,37.3550,Russia,RU,Moskovskaya Oblast’,,50167,50167
Borovichi,58.4000,33.9167,Russia,RU,Novgorodskaya Oblast’,,50144,50144
Roslavl,53.9492,32.8569,Russia,RU,Smolenskaya Oblast’,,50112,50112
Buguruslan,53.6167,52.4167,Russia,RU,Orenburgskaya Oblast’,,49737,49737
Mozhga,56.4500,52.2167,Russia,RU,Udmurtiya,,49328,49328
Kizlyar,43.8500,46.7167,Russia,RU,Dagestan,minor,49247,49247
Lesnoy,58.6333,59.7833,Russia,RU,Sverdlovskaya Oblast’,,49056,49056
Megion,61.0331,76.1097,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,,48691,46610
Salekhard,66.5333,66.6333,Russia,RU,Yamalo-Nenetskiy Avtonomnyy Okrug,admin,48507,48507
Kurganinsk,44.8833,40.6000,Russia,RU,Krasnodarskiy Kray,minor,48439,48439
Shelekhov,52.2000,104.1000,Russia,RU,Irkutskaya Oblast’,,48098,48098
Kashira,54.8333,38.1500,Russia,RU,Moskovskaya Oblast’,,48016,48016
Donetsk,48.3369,39.9449,Russia,RU,Rostovskaya Oblast’,,47770,47770
Sayanogorsk,53.1000,91.4000,Russia,RU,Khakasiya,,47358,47358
Kingisepp,59.3667,28.6000,Russia,RU,Leningradskaya Oblast’,minor,47313,47313
Livny,52.4253,37.6083,Russia,RU,Orlovskaya Oblast’,,47221,47221
Otradnyy,53.3667,51.3500,Russia,RU,Samarskaya Oblast’,,47180,47180
Vyshniy Volochëk,57.5913,34.5645,Russia,RU,Tverskaya Oblast’,,46908,46908
Kotelniki,55.6500,37.8667,Russia,RU,Moskovskaya Oblast’,,46763,46763
Zarinsk,53.7000,84.9167,Russia,RU,Altayskiy Kray,,46597,46597
Gryazi,52.5000,39.9333,Russia,RU,Lipetskaya Oblast’,,46492,46492
Berëzovskiy,55.6667,86.2500,Russia,RU,Kemerovskaya Oblast’,,46215,46215
Aksay,47.2667,39.8667,Russia,RU,Rostovskaya Oblast’,minor,46018,46018
Torzhok,57.0333,34.9667,Russia,RU,Tverskaya Oblast’,,45641,45641
Kanash,55.5167,47.5000,Russia,RU,Chuvashiya,,45482,45482
Ruzayevka,54.0667,44.9500,Russia,RU,Mordoviya,,45248,45248
Parma,65.9230,57.4030,Russia,RU,Komi,,45000,40827
Nadym,65.5333,72.5167,Russia,RU,Yamalo-Nenetskiy Avtonomnyy Okrug,,44940,44940
Volkhov,59.9167,32.3500,Russia,RU,Leningradskaya Oblast’,,44868,44868
Chusovoy,58.2833,57.8167,Russia,RU,Permskiy Kray,,44779,44779
Kimry,56.8667,37.3500,Russia,RU,Tverskaya Oblast’,,44743,44743
Kamen’-na-Obi,53.7919,81.3486,Russia,RU,Altayskiy Kray,,44564,37202
Kuybyshev,55.4503,78.3075,Russia,RU,Novosibirskaya Oblast’,,44170,44170
Yartsevo,55.0667,32.6833,Russia,RU,Smolenskaya Oblast’,,44097,44097
Rasskazovo,52.6667,41.8833,Russia,RU,Tambovskaya Oblast’,,43758,43758
Birsk,55.4167,55.5333,Russia,RU,Bashkortostan,,43572,43572
Kolchugino,56.2992,39.3831,Russia,RU,Vladimirskaya Oblast’,,43089,43089
Shebekino,50.4167,36.9000,Russia,RU,Belgorodskaya Oblast’,,42465,42465
Osinniki,53.6167,87.3333,Russia,RU,Kemerovskaya Oblast’,,42454,42454
Safonovo,55.1000,33.2500,Russia,RU,Smolenskaya Oblast’,,42147,42147
Monchegorsk,67.9394,32.9156,Russia,RU,Murmanskaya Oblast’,,42099,42099
Korenovsk,45.4667,39.4500,Russia,RU,Krasnodarskiy Kray,minor,42019,42019
Satka,55.0500,59.0500,Russia,RU,Chelyabinskaya Oblast’,,41798,41798
Krasnoznamensk,55.6000,37.0333,Russia,RU,Moskovskaya Oblast’,,41769,41769
Mozdok,43.7500,44.6500,Russia,RU,North Ossetia,,41728,41728
Ust’-Kut,56.8000,105.8333,Russia,RU,Irkutskaya Oblast’,,41689,41689
Tulun,54.5667,100.5667,Russia,RU,Irkutskaya Oblast’,,41640,41640
Gay,51.4747,58.4543,Russia,RU,Orenburgskaya Oblast’,,41619,37801
Strezhevoy,60.7333,77.5833,Russia,RU,Tomskaya Oblast’,,41541,41541
Verkhnyaya Salda,58.0500,60.5500,Russia,RU,Sverdlovskaya Oblast’,,41484,41484
Karabulak,43.3000,44.9000,Russia,RU,Ingushetiya,,41469,41469
Myski,53.7000,87.8167,Russia,RU,Kemerovskaya Oblast’,,41379,41379
Temryuk,45.2667,37.3833,Russia,RU,Krasnodarskiy Kray,minor,41133,41133
Spassk-Dal’niy,44.6000,132.8167,Russia,RU,Primorskiy Kray,,41127,41127
Pyt’-Yakh,60.7500,72.7833,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,,41005,41005
Pechora,65.1442,57.2197,Russia,RU,Komi,,40653,40653
Uray,60.1333,64.7833,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,,40559,40559
Sovetsk,55.0833,21.8833,Russia,RU,Kaliningradskaya Oblast’,minor,40486,40486
Chebarkul,54.9778,60.3700,Russia,RU,Chelyabinskaya Oblast’,,40378,40378
Zainsk,55.3000,52.0167,Russia,RU,Tatarstan,,40366,40366
Belaya Kalitva,48.1667,40.7833,Russia,RU,Rostovskaya Oblast’,minor,40275,40275
Tutayev,57.8833,39.5333,Russia,RU,Yaroslavskaya Oblast’,,40154,40154
Amursk,50.2167,136.9000,Russia,RU,Khabarovskiy Kray,,40106,40106
Yalutorovsk,56.6500,66.3000,Russia,RU,Tyumenskaya Oblast’,,39967,39967
Apsheronsk,44.4608,39.7406,Russia,RU,Krasnodarskiy Kray,minor,39762,39762
Novozybkov,52.5333,31.9333,Russia,RU,Bryanskaya Oblast’,,39725,39725
Morshansk,53.4500,41.8000,Russia,RU,Tambovskaya Oblast’,,39362,39362
Yelizovo,53.1833,158.3833,Russia,RU,Kamchatskiy Kray,,39216,39216
Pereslavl’-Zalesskiy,56.7381,38.8562,Russia,RU,Yaroslavskaya Oblast’,,39105,39105
Rtishchevo,52.2500,43.7833,Russia,RU,Saratovskaya Oblast’,,39005,39005
Kachkanar,58.7000,59.4833,Russia,RU,Sverdlovskaya Oblast’,,38996,38996
Sayansk,54.1167,102.1667,Russia,RU,Irkutskaya Oblast’,,38968,38968
Mariinsk,56.2167,87.7500,Russia,RU,Kemerovskaya Oblast’,,38637,38637
Abinsk,44.8667,38.1667,Russia,RU,Krasnodarskiy Kray,minor,38547,38547
Konakovo,56.7129,36.7783,Russia,RU,Tverskaya Oblast’,,38486,38486
Novodvinsk,64.4167,40.8167,Russia,RU,Arkhangel’skaya Oblast’,,38434,38434
Krasnoufimsk,56.6167,57.7667,Russia,RU,Sverdlovskaya Oblast’,,38395,38395
Usinsk,65.9998,57.5414,Russia,RU,Komi,,38376,38376
Mtsensk,53.2833,36.5667,Russia,RU,Orlovskaya Oblast’,,38350,38350
Kurchatov,51.6667,35.6500,Russia,RU,Kurskaya Oblast’,,38344,38344
Alekseyevka,50.6333,38.6833,Russia,RU,Belgorodskaya Oblast’,,38329,38329
Krasnyy Sulin,47.8833,40.0667,Russia,RU,Rostovskaya Oblast’,minor,38284,38284
Lyudinovo,53.8667,34.4667,Russia,RU,Kaluzhskaya Oblast’,,38267,38267
Zavolzhye,56.6425,43.3928,Russia,RU,Nizhegorodskaya Oblast’,,38230,38230
Baksan,43.6833,43.5333,Russia,RU,Kabardino-Balkariya,,38192,38192
Izobil’nyy,45.3667,41.7167,Russia,RU,Stavropol’skiy Kray,,38100,38100
Bol’shoy Kamen’,43.1167,132.3500,Russia,RU,Primorskiy Kray,,38042,38042
Akhtubinsk,48.2833,46.1667,Russia,RU,Astrakhanskaya Oblast’,,37883,37883
Yuzhnouralsk,54.4500,61.2500,Russia,RU,Chelyabinskaya Oblast’,,37728,37728
Uchaly,54.3167,59.3833,Russia,RU,Bashkortostan,,37710,37710
Uryupinsk,50.8000,42.0167,Russia,RU,Volgogradskaya Oblast’,,37620,37620
Alapayevsk,57.8500,61.7000,Russia,RU,Sverdlovskaya Oblast’,,37526,37526
Dalnegorsk,44.5539,135.5661,Russia,RU,Primorskiy Kray,,37519,37519
Tosno,59.5400,30.8775,Russia,RU,Leningradskaya Oblast’,,37509,37509
Goryachiy Klyuch,44.6308,39.1300,Russia,RU,Krasnodarskiy Kray,,37475,37475
Malgobek,43.5167,44.5833,Russia,RU,Ingushetiya,,37442,37442
Yugorsk,61.3167,63.3500,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,,37422,37422
Argun,43.3000,45.8667,Russia,RU,Chechnya,,37373,37373
Kizilyurt,43.2000,46.8667,Russia,RU,Dagestan,minor,37171,37171
Rezh,57.3667,61.4000,Russia,RU,Sverdlovskaya Oblast’,,37152,37152
Sharypovo,55.5250,89.2000,Russia,RU,Krasnoyarskiy Kray,,37136,37136
Partizansk,43.1333,133.1333,Russia,RU,Primorskiy Kray,,37059,37059
Lesozavodsk,45.4667,133.4000,Russia,RU,Primorskiy Kray,,37034,37034
Beslan,43.1833,44.5333,Russia,RU,North Ossetia,,37029,37029
Kyshtym,55.7139,60.5528,Russia,RU,Chelyabinskaya Oblast’,,36997,36997
Frolovo,49.7714,43.6622,Russia,RU,Volgogradskaya Oblast’,,36951,36951
Sokol,59.4667,40.1167,Russia,RU,Vologodskaya Oblast’,,36924,36924
Irbit,57.6667,63.0667,Russia,RU,Sverdlovskaya Oblast’,,36668,36668
Koryazhma,61.3000,47.1667,Russia,RU,Arkhangel’skaya Oblast’,,36607,36607
Boyarka,70.7670,97.5000,Russia,RU,Krasnoyarskiy Kray,,35968,35968
Kamenka,53.1833,44.0500,Russia,RU,Penzenskaya Oblast’,,35929,35929
Chernyakhovsk,54.6333,21.8167,Russia,RU,Kaliningradskaya Oblast’,minor,35888,35888
Vyazniki,56.2433,42.1292,Russia,RU,Vladimirskaya Oblast’,,35865,35865
Protvino,54.8667,37.2167,Russia,RU,Moskovskaya Oblast’,,35807,35807
Svetlograd,45.3308,42.8511,Russia,RU,Stavropol’skiy Kray,,35745,35745
Kinel,53.2333,50.6167,Russia,RU,Samarskaya Oblast’,,35675,35675
Millerovo,48.9167,40.4000,Russia,RU,Rostovskaya Oblast’,minor,35384,35384
Luga,58.7333,29.8500,Russia,RU,Leningradskaya Oblast’,,35262,35262
Mirnyy,62.5333,113.9500,Russia,RU,Sakha (Yakutiya),,35223,35223
Yefremov,53.1492,38.0826,Russia,RU,Tul’skaya Oblast’,,35168,35168
Blagoveshchensk,55.0333,55.9833,Russia,RU,Bashkortostan,,35008,35008
Aznakayevo,54.8500,53.0667,Russia,RU,Tatarstan,,34896,34896
Zelenokumsk,44.4000,43.8670,Russia,RU,Stavropol’skiy Kray,,34690,34690
Korkino,54.8833,61.4000,Russia,RU,Chelyabinskaya Oblast’,,34672,34672
Vichuga,57.2000,41.9167,Russia,RU,Ivanovskaya Oblast’,,34394,34394
Bogorodsk,56.0997,43.5072,Russia,RU,Nizhegorodskaya Oblast’,,34240,34240
Gulkevichi,45.3603,40.6945,Russia,RU,Krasnodarskiy Kray,minor,34215,34215
Valuyki,50.1833,38.1167,Russia,RU,Belgorodskaya Oblast’,,34193,34193
Nizhneudinsk,54.9000,99.0167,Russia,RU,Irkutskaya Oblast’,,33918,33918
Furmanov,57.2500,41.1000,Russia,RU,Ivanovskaya Oblast’,,33905,33905
Sukhoy Log,56.9167,62.0500,Russia,RU,Sverdlovskaya Oblast’,,33689,33689
Korsakov,46.6333,142.7667,Russia,RU,Sakhalinskaya Oblast’,,33645,33645
Tayshet,55.9333,98.0167,Russia,RU,Irkutskaya Oblast’,,33364,33364
Tavda,58.0500,65.2667,Russia,RU,Sverdlovskaya Oblast’,,33356,33356
Baltiysk,54.6500,19.9167,Russia,RU,Kaliningradskaya Oblast’,minor,33317,33317
Shatura,55.5667,39.5333,Russia,RU,Moskovskaya Oblast’,,33222,33222
Tynda,55.1500,124.7167,Russia,RU,Amurskaya Oblast’,,33061,33061
Chernushka,56.5000,56.0833,Russia,RU,Permskiy Kray,,32952,32952
Slobodskoy,58.7242,50.1612,Russia,RU,Kirovskaya Oblast’,,32793,32793
Trëkhgornyy,54.8000,58.4500,Russia,RU,Chelyabinskaya Oblast’,,32715,32715
Nurlat,54.4333,50.8000,Russia,RU,Tatarstan,,32703,32703
Dobryanka,58.4500,56.4167,Russia,RU,Permskiy Kray,,32676,32676
Ostrogozhsk,50.8667,39.0667,Russia,RU,Voronezhskaya Oblast’,,32601,32601
Vyatskiye Polyany,56.2184,51.0686,Russia,RU,Kirovskaya Oblast’,,32562,32562
Kulebaki,55.4167,42.5167,Russia,RU,Nizhegorodskaya Oblast’,,32518,32518
Teykovo,56.8500,40.5500,Russia,RU,Ivanovskaya Oblast’,,32511,32511
Slantsy,59.1167,28.0833,Russia,RU,Leningradskaya Oblast’,,32508,32508
Primorsko-Akhtarsk,46.0500,38.1833,Russia,RU,Krasnodarskiy Kray,minor,32180,32180
Mirnyy,62.7603,40.3353,Russia,RU,Arkhangel’skaya Oblast’,,32175,32175
Uglich,57.5333,38.3333,Russia,RU,Yaroslavskaya Oblast’,,32146,32146
Serdobsk,52.4667,44.2167,Russia,RU,Penzenskaya Oblast’,,32087,32087
Velikiy Ustyug,60.7589,46.3039,Russia,RU,Vologodskaya Oblast’,,31806,31806
Novovoronezh,51.3167,39.2167,Russia,RU,Voronezhskaya Oblast’,,31503,31503
Marks,51.7000,46.7500,Russia,RU,Saratovskaya Oblast’,,31488,31488
Kudymkar,59.0167,54.6667,Russia,RU,Permskiy Kray,minor,31370,31370
Kandalaksha,67.1569,32.4117,Russia,RU,Murmanskaya Oblast’,,31329,31329
Bogoroditsk,53.7667,38.1333,Russia,RU,Tul’skaya Oblast’,,31139,31139
Zima,53.9167,102.0500,Russia,RU,Irkutskaya Oblast’,,30988,30988
Dyurtyuli,55.4833,54.8667,Russia,RU,Bashkortostan,,30969,30969
Rostov,57.1833,39.4167,Russia,RU,Yaroslavskaya Oblast’,,30943,30943
Nartkala,43.5500,43.8500,Russia,RU,Kabardino-Balkariya,,30832,30832
Artëmovskiy,57.3667,61.8667,Russia,RU,Sverdlovskaya Oblast’,,30778,30778
Blagodarnyy,45.1029,43.4252,Russia,RU,Stavropol’skiy Kray,,30530,30530
Kirov,54.0833,34.3000,Russia,RU,Kaluzhskaya Oblast’,,30520,30520
Kokhma,56.9333,41.0833,Russia,RU,Ivanovskaya Oblast’,,30500,30500
